Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Origin,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,CPI,Adm Level,Geo Locations
2002,Meteorological,Storm,Tropical cyclone,Barguna district (Barisal province),notgiven,85.0,Kph,2002,11.0,14.0,2002,11.0,14.0,49.0,notgiven,notgiven,notgiven,61.4631882611914,2,Barguna (Adm2).
2002,Meteorological,Extreme temperature,Cold wave,"Rajshahi, Rangpur provinces",notgiven,3.0,°C,2002,12.0,15.0,2003,1.0,,700.0,notgiven,50000.0,50000.0,61.4631882611914,1,"Rajshahi, Rangpur (Adm1)."
2002,Biological,Epidemic,Parasitic disease,"Bandarban, Rangamati, Khagrachari hill districts",notgiven,notgiven,Vaccinated,2002,6.0,notgiven,2002,6.0,,96.0,notgiven,49904.0,49904.0,61.4631882611914,,
2002,Meteorological,Storm,,Cox's Bazar district (Chittagong province),notgiven,90.0,Kph,2002,3.0,25.0,2002,3.0,25.0,32.0,notgiven,notgiven,1000.0,61.4631882611914,2,Cox's Bazar (Adm2).
2002,Meteorological,Storm,,Rajshahi district (Rajshahi province),notgiven,notgiven,Kph,2002,7.0,14.0,2002,7.0,14.0,10.0,notgiven,notgiven,notgiven,61.4631882611914,2,Rajshahi (Adm2).
2003,Geophysical,Earthquake,Ground movement,"Chittagong, Cox's Bazar, Rangamati districts (Chittagong province)",notgiven,6.0,Richter,2003,7.0,26.0,2003,7.0,26.0,2.0,25.0,2500.0,2525.0,62.8584595000413,2,"Chittagong, Cox's Bazar, Rangamati (Adm2)."
2003,Hydrological,Flood,Flash flood,"Khagrachhari, Chittagong, Feni, Cox's Bazar, Lakshmipur, Comilla districts (Chittagong province), Bhola district (Barisal province), Netrakona, Jamalpur districts (Dhaka province), Sylhet province","Mousson rain, tidal surge",4230.0,Km2,2003,6.0,19.0,2003,7.0,3.0,65.0,notgiven,500000.0,500000.0,62.8584595000413,2,"Bhola, Chittagong, Comilla, Cox's Bazar, Feni, Jamalpur, Khagrachhari, Lakshmipur, Netrakona (Adm2)."
2004,Meteorological,Storm,Convective storm,"Mymensingh, Netrakona districts (Dhaka province)",notgiven,120.0,Kph,2004,4.0,14.0,2004,4.0,15.0,76.0,3000.0,notgiven,13000.0,64.5413292817447,2,"Mymensingh, Netrakona (Adm2)."
2004,Meteorological,Storm,Convective storm,Sylhet province,notgiven,notgiven,Kph,2004,5.0,13.0,2004,5.0,13.0,10.0,50.0,notgiven,4050.0,64.5413292817447,1,Sylhet (Adm1).
2004,Geophysical,Earthquake,Tsunami,"Barisal, Chittagong, Khulna provinces",notgiven,9.0,Richter,2004,12.0,26.0,2004,12.0,26.0,2.0,notgiven,notgiven,notgiven,64.5413292817447,1,"Barisal, Chittagong, Khulna (Adm1)."
